scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
300055,016048,80139913,万邦达,环保工程,001,001,2,cyb,2020-12-25T00:00:00,2019-12-31T00:00:00,74617232.42,840125824.51,658192468.78,-0.405801766400616,551763159.7,-0.433845619894108,33726088.97,97328288.76,-66147911.6,31827798.96,19131818.19,-51874692.95,-,-,-,-,-,13512314.88,-,-,-,-,-,-,-,-,-0.365598,1.543991,1.825846,73059847.69,1.8349855497,2020/12/29 10:18:06,551763159.7
688618,016015,81056910,三旺通信,通讯行业,001,001,2,,2020-12-25T00:00:00,2019-12-31T00:00:00,57989273.63,172467827.82,122038275.78,0.182949211993401,57790619.69,0.133342526808395,29080985.14,5745406.17,-287735.06,62504171.59,62508389.64,4519116.01,-,-,-,-,-,1837821.37,-,-,-,-,-,-,-,-,0.173242,0.113778,0.128644,54166972.92,0.1130424379,2020/12/24 19:29:33,57790619.69
688819,016007,80290132,天能股份,电力行业,001,001,2,,2020-12-25T00:00:00,2019-12-31T00:00:00,1491731406.83,42744368175.83,41052055426.14,0.188218202938873,36465409110.9,0.219482292110263,1428300064.66,608864718.84,133688864.43,1878547713.26,1879700316.22,330760558.34,-,-,-,-,-,1275131346.8,-,-,-,-,-,-,-,-,0.191885,0.189115,0.225484,1311454944.08,0.250187905,2020/12/24 20:33:07,36465409110.9
300477,016020,80100574,合纵科技,输配电气,001,001,2,cyb,2020-12-25T00:00:00,2019-12-31T00:00:00,63869484.17,1894304152.76,1835718104.82,-0.0556597522090701,1478331829.73,-0.0649176270289801,139478340.28,110131335.15,61929836.25,70122460.71,70341739.76,7991716.6,-,-,-,-,-,11522716.16,-,-,-,-,-,-,-,-,-0.056393,0.243421,0.251275,51945165.74,0.4031943278,2020/12/25 21:48:41,1478331829.73
601956,016043,80031022,东贝集团,机械行业,001,001,2,shzb,2020-12-24T00:00:00,2019-12-31T00:00:00,97706660.95,4928711194.38,4773403146.47,-,4078637598.61,-,195585884.32,155548342.84,45107085.94,213051882.41,217943777.2,35818135.2,-,-,-,-,-,33271333.83,-,-,-,-,-,-,-,-,-,-,-,-,-,2020/12/23 20:10:33,4078637598.61
688698,016020,81045998,伟创电气,输配电气,001,001,2,,2020-12-24T00:00:00,2019-12-31T00:00:00,57553819.08,446235472.01,389999005.12,0.191975545121358,271347423.17,0.257791097275762,41522510.4,27948094.87,2322600.43,62675558.63,63629216.28,6075397.2,-,-,-,-,-,3903528.56,-,-,-,-,-,-,-,-,0.250107,0.492357,0.631307,59431719.08,4.6545648252,2020/12/23 20:01:16,271347423.17
688063,016043,80401404,派能科技,机械行业,001,001,2,,2020-12-24T00:00:00,2019-12-31T00:00:00,144114184.41,819849198.51,656793789.01,0.79359780827205,516249790.91,0.737772075830908,35196450.53,42655058.51,-1133302.1,164738619.09,164333442.97,20219258.56,-,-,-,-,-,3631764.11,-,-,-,-,-,-,-,-,0.924414,2.234075,2.170181,160190084.41,2.894055551,2020/12/23 19:29:04,516249790.91
300646,016041,80277795,侨源气体,化工行业,001,001,2,cyb,2020-12-23T00:00:00,2019-12-31T00:00:00,262013571.95,779287856.16,459431264.7,0.034850790950955,315631903.3,0.0637096484285977,100661009.15,37488454.06,-1779458.13,319118443.88,318855890.37,56842318.42,-,-,-,-,-,7429356.32,-,-,-,-,-,-,-,-,0.062309,0.090139,0.147278,255652764.49,0.1107477598,2020/12/23 18:45:36,315631903.3
300925,016057,80424639,法本信息,软件服务,001,001,2,cyb,2020-12-23T00:00:00,2019-12-31T00:00:00,95954354.98,1306692344.3,1192267902.14,0.677125298594289,923514068.01,0.658996405086637,42292894.5,146828857.23,4364648.11,104249946.72,104288197.06,8333842.08,-,-,-,-,-,7456169.6,-,-,-,-,-,-,-,-,0.670127,0.491231,0.472462,90093293.63,0.542699865,2020/12/22 21:27:38,923514068.01
300937,,81018359,药易购,,001,001,2,cyb,2020-12-22T00:00:00,2019-12-31T00:00:00,64663460.43,2289374798.0,2214005134.07,0.134056931881767,2080866491.57,0.124315419881111,102355983.17,21833685.68,4387783.25,75044998.85,74867256.56,12537206.65,-,-,-,-,-,4561190.4,-,-,-,-,-,-,-,-,0.13112,0.103614,0.143317,62646387.35,0.1055900757,2020/12/22 15:26:55,2080866491.57
605277,016007,80994787,新亚电子,电力行业,001,001,2,shzb,2020-12-22T00:00:00,2019-12-31T00:00:00,108311338.32,928661525.31,798240751.13,0.012538540008417,725173677.9,0.0142556499041846,40006076.93,13707090.49,2332988.91,142649876.7,141575436.31,33264097.99,-,-,-,-,-,4515961.0,-,-,-,-,-,-,-,-,0.035833,0.128927,0.017215,98405534.48,0.1330131954,2020/12/22 7:10:18,725173677.9
003030,016012,80468271,祖名股份,食品饮料,001,001,2,zxb,2020-12-22T00:00:00,2019-12-31T00:00:00,90165098.92,1047737339.68,937634497.92,0.0919938310283301,633550025.09,0.0796298079227143,213036598.82,57260253.76,21626289.21,121114945.9,119136511.7,28971412.78,-,-,-,-,-,7137568.6,-,-,-,-,-,-,-,-,0.115612,0.411718,0.410111,82395219.25,0.3828085979,2020/12/22 7:03:16,633550025.09
300922,016018,80390793,天秦装备,塑胶制品,001,001,2,cyb,2020-12-22T00:00:00,2019-12-31T00:00:00,52552399.44,212750230.69,154372124.18,-0.00495914133777613,131129079.18,-0.00759100289289753,2598574.24,9923438.08,-933442.34,60648277.76,60647538.2,8095138.76,-,-,-,-,-,1208307.07,-,-,-,-,-,-,-,-,-0.043118,-0.107199,-0.141588,50254322.97,-0.1140106912,2020/12/21 21:53:06,131129079.18
300928,016035,80971878,华安鑫创,汽车行业,001,001,2,cyb,2020-12-22T00:00:00,2019-12-31T00:00:00,81941938.77,856013371.94,750889174.87,-0.0250797666497713,704728261.04,-0.0253783353488503,9664107.47,18007353.93,5896475.53,100713644.26,97712780.55,11856382.2,-,-,-,-,-,2837905.19,-,-,-,-,-,-,-,-,-0.007993,0.21942,0.158406,83211148.13,0.1865279149,2020/12/22 7:16:48,704728261.04
003033,016043,80507564,征和工业,机械行业,001,001,2,zxb,2020-12-22T00:00:00,2019-12-31T00:00:00,91959218.35,806127866.69,708161348.12,0.0704371151245501,592751567.38,0.073415188092408,44611591.71,28354204.99,1761338.21,102395558.85,103560165.3,11600946.95,-,-,-,-,-,7138473.23,-,-,-,-,-,-,-,-,0.096357,0.398551,0.346567,82782949.13,0.30812874,2020/12/22 7:34:19,592751567.38
000960,016032,10001212,锡业股份,有色金属,001,001,2,szzb,2020-12-22T00:00:00,2019-12-31T00:00:00,849350128.18,42887232439.68,41521780358.8,0.0818234175914393,39109365895.91,0.0835514286586502,198948372.4,1213474541.84,684381312.93,1361235026.37,1305562660.47,196469033.84,-,-,-,-,-,171082795.54,-,-,-,-,-,-,-,-,0.082927,0.011958,-0.040385,823538178.86,0.1152183359,2020/12/21 18:23:32,39109365895.91
003031,016022,80994472,中瓷电子,电子元件,001,001,2,zxb,2020-12-21T00:00:00,2019-12-31T00:00:00,76415947.2,590417854.8,513073991.7,0.440822065926218,413193231.79,0.47699084102827,7663369.16,29938703.82,-1897794.91,81683432.62,81734566.49,5318619.29,-,-,-,-,-,1095473.25,-,-,-,-,-,-,-,-,0.450558,0.287863,0.302095,70872405.16,0.5328409126,2020/12/21 6:57:17,413193231.79
605155,016040,80994747,西大门,材料行业,001,001,2,shzb,2020-12-21T00:00:00,2019-12-31T00:00:00,88386119.27,408822793.21,303516902.46,0.012254990543531,247917763.41,0.0129684346703182,16672853.24,23199829.49,-2292064.27,103604640.0,101785535.73,13399416.46,-,-,-,-,-,2994638.68,-,-,-,-,-,-,-,-,0.045727,0.151949,0.160001,89012668.11,0.155392332,2020/12/21 6:53:48,247917763.41
300613,016022,80350175,富瀚微,电子元件,001,001,2,cyb,2020-12-21T00:00:00,2019-12-31T00:00:00,81674566.74,522080228.2,495000155.75,0.305843537249736,328059588.35,0.371535780770684,10237370.75,36188967.88,-15956657.19,62858487.5,75978479.67,3375399.82,-,-,-,-,-,1925653.44,-,-,-,-,-,-,-,-,0.267172,0.477635,0.498648,62137213.39,0.6971827938,2020/12/21 20:16:33,328059588.35
688560,016018,80553688,明冠新材,塑胶制品,001,001,2,,2020-12-18T00:00:00,2019-12-31T00:00:00,104905116.26,945745183.57,818702785.82,0.0665746712965217,714440488.43,0.0427514021514427,34282999.37,24995071.91,1736159.66,120292233.1,119887919.82,14982803.56,-,-,-,-,-,5925016.79,-,-,-,-,-,-,-,-,0.09109,0.220234,0.185434,81090116.26,-0.2880479588,2020/12/17 19:27:21,714440488.43
688658,016024,80300453,悦康药业,医药制造,001,001,2,,2020-12-18T00:00:00,2019-12-31T00:00:00,285454044.81,4287579921.77,3978901676.27,0.0824765036831731,1675629906.3,0.0567744797359704,1881247724.37,181051273.92,38165594.12,328058787.31,331767472.85,43973186.77,-,-,-,-,-,51814533.79,-,-,-,-,-,-,-,-,0.07655,0.014373,0.065329,268811752.24,0.0313044955,2020/12/17 19:33:21,1675629906.3
688679,016048,80457416,通源环境,环保工程,001,001,2,,2020-12-18T00:00:00,2019-12-31T00:00:00,86560965.74,773816127.41,673010630.39,0.291382288150348,555613136.96,0.296781601624744,24499989.81,48144239.46,6561897.44,95820603.75,98378140.88,13974418.19,-,-,-,-,-,7321230.35,-,-,-,-,-,-,-,-,0.296685,0.465883,0.516132,84117681.34,0.4216780511,2020/12/17 19:23:20,555613136.96
300918,016010,80951389,南山智尚,纺织服装,001,001,2,cyb,2020-12-17T00:00:00,2019-12-31T00:00:00,121780764.76,1770830625.05,1600642731.73,-0.097625897379948,1235795590.52,-0.0861290881418121,201913612.46,64210502.89,23910336.28,138730256.05,147882394.16,26847147.04,-,-,-,-,-,20593020.65,-,-,-,-,-,-,-,-,-0.113427,-0.129803,0.005008,109081974.71,-0.058408016,2020/12/16 21:00:49,1235795590.52
300919,016040,81046883,中伟股份,材料行业,001,001,2,cyb,2020-12-17T00:00:00,2019-12-31T00:00:00,179826999.88,5311212819.9,5126617692.36,0.717571004061995,4657329904.51,0.713810659335857,74306253.5,113713644.39,90270632.97,212309404.28,211928544.15,32101544.27,-,-,-,-,-,15527044.96,-,-,-,-,-,-,-,-,0.731042,1.349038,1.848342,121266643.64,1.7674077963,2020/12/16 21:05:23,4657329904.51
