scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
688689,016022,80646313,银河微电,电子元件,001,001,2,,2021-01-19T00:00:00,2017-12-31T00:00:00,69360088.43,2.98613010806389,446626738.42,19.2284292141341,117890219.77,5.07547701668157,-33020803.0,-1.42163045438243,-,-,43373445.22,1.86733831506884,-8970166.67,-0.386188734385358,23227416.73,-0.65592404937576,-,-,-,-,-,-,-,63000000.0,2.71231195153229,87145907.79,3.75185535279282,110373324.52,4.75185535279282,-,-,-,-,2021/1/18 19:36:01,-,-
003036,016043,80062092,泰坦股份,机械行业,001,001,2,zxb,2021-01-18T00:00:00,2017-12-31T00:00:00,46772093.16,18.9848264446237,659173297.08,267.558918075032,40432681.03,16.4116544756617,144283280.41,58.5646878807514,202800.0,0.0823166666883824,2218266.61,0.900396021505611,-193409497.79,-78.5050550490476,-2463656.61,0.828801242225666,-,-,-,-,-,-,-,199000000.0,80.7742439397835,127080666.01,51.5821342528738,124617009.4,50.5821342528738,-,-,-,-,2021/1/18 7:17:26,-,-
300940,016022,80994492,南极光,电子元件,001,001,2,cyb,2021-01-15T00:00:00,2017-12-31T00:00:00,17059332.56,10.2773922845128,405595873.16,244.351171582108,116929720.74,70.4442923271969,-13580850.78,-8.18178146961989,-,-,13617800.78,8.20404199145315,-5548035.99,-3.3424134313157,-1659889.21,0.241014237634816,-,-,-,-,-,-,-,-,-,7256865.82,4.37189770032905,5596976.61,3.37189770032905,-,-,-,-,2021/1/15 7:08:33,-,-
300930,016040,80994692,屹通新材,材料行业,001,001,2,cyb,2021-01-15T00:00:00,2017-12-31T00:00:00,-3297861.16,-0.704694944384909,202658997.16,43.3046643882266,9700585.68,2.07284459672907,-1985515.43,-0.424269736546225,1858834.84,0.397200321857859,9707300.49,2.07427943356116,9963218.82,2.12896468093113,4679842.23,2.70150266511202,-,-,-,-,-,-,-,-,-,1481002.93,0.316464286019317,6160845.16,1.31646428601932,-,-,-,-,2021/1/14 20:40:28,-,-
300931,016043,80520714,通用电梯,机械行业,001,001,2,cyb,2021-01-15T00:00:00,2017-12-31T00:00:00,9082777.9,0.0622102450513679,406890542.33,2.78689632468424,26882053.29,0.184121987905796,-13445271.99,-0.0920900713954695,40570.84,0.000277879953261858,3427500.0,0.0234758151373011,150746614.32,1.03250172147348,146001320.08,19.8533202183248,-,-,-,-,-,-,-,18265448.45,0.12510468014941,11586023.98,0.0793556111249648,157587344.06,1.07935561112496,-,-,-,-,2021/1/14 20:38:01,-,-
300929,016048,80205700,华骐环保,环保工程,001,001,2,cyb,2021-01-14T00:00:00,2017-12-31T00:00:00,-88481979.75,-1.62208828399639,227933685.93,4.17857469418981,28944460.69,0.530621836271051,-23348417.43,-0.428032854487074,444000.0,0.00813959181439309,1801859.12,0.0330324273509945,166378587.08,3.05012113848346,54548189.9,2.69372447639297,-,-,-,-,-,-,-,22520000.0,0.412845963198497,48948111.22,0.897337039225934,103496301.12,1.89733703922593,-,-,-,-,2021/1/13 21:19:57,-,-
300938,016042,80374271,信测标准,综合行业,001,001,2,cyb,2021-01-14T00:00:00,2017-12-31T00:00:00,62327311.93,3.263188556067,212602164.23,11.1309300502094,72313428.01,3.78601841512478,-44735970.66,-2.3421819902359,-,-,44801305.66,2.34560264833439,1926058.78,0.100840109649958,19100125.8,2.24827633126814,-,-,-,-,-,-,-,-,-,62081220.87,3.25030429223665,81181346.67,4.25030429223665,-,-,-,-,2021/1/14 7:28:10,-,-
300939,016022,80669978,秋田微,电子元件,001,001,2,cyb,2021-01-14T00:00:00,2017-12-31T00:00:00,42092960.96,2.75073712527103,567936492.42,37.1141387744252,182054967.59,11.8971283266509,-4393196.62,-0.287091446304594,8259.1,0.000539724753811331,18494816.55,1.20861962068924,-17542989.43,-1.146418574811,15302429.51,6.34211184627195,-,-,-,-,-,-,-,3300000.0,0.21565203079965,9942926.46,0.649761297936539,25245355.97,1.64976129793654,-,-,-,-,2021/1/14 7:58:40,-,-
688607,016047,81019009,康众医疗,医疗行业,001,001,2,,2021-01-13T00:00:00,2017-12-31T00:00:00,28997337.03,0.42737454864392,202236541.78,2.98064441824832,20558171.45,0.302994693454031,-39575539.85,-0.583280404791474,182273.06,0.00268641450305777,1881159.72,0.0277252971688525,80239583.71,1.18260362446245,67849938.94,-,-,-,-,-,-,-,-,-,-,55077842.91,0.811759653294686,122927781.85,1.81175965329469,-,-,-,-,2021/1/12 19:22:53,-,-
688628,016021,80319021,优利德,仪器仪表,001,001,2,,2021-01-12T00:00:00,2017-12-31T00:00:00,22220684.99,1.84075619548577,431965369.47,35.783907221809,70273117.6,5.82140814545161,19965734.25,1.65395661900835,6143730.19,0.508945129986989,45304033.13,3.75297519865252,-29500054.07,-2.44377737774311,12071498.14,-,-,-,-,-,-,-,-,-,-,9226881.98,0.764352682077289,21298380.12,1.76435268207729,-,-,-,-,2021/1/11 19:34:47,-,-
688317,016047,80453302,之江生物,医疗行业,001,001,2,,2021-01-12T00:00:00,2017-12-31T00:00:00,48002058.82,0.432110492202263,183296123.8,1.65001627473913,29307463.57,0.263823319660534,127803226.9,1.15047388879468,5059359.13,0.0455439249405993,28646362.13,0.257872140155812,-62481563.9,-0.562453777902274,111087464.17,317.115962399298,-,-,-,-,-,-,-,229109770.1,2.0624268616789,96589709.06,0.8694924290664,207677173.23,1.8694924290664,-,-,-,-,2021/1/11 19:34:47,-,-
688656,016024,80994699,浩欧博,医药制造,001,001,2,,2021-01-08T00:00:00,2017-12-31T00:00:00,22258113.52,21.7977220879624,157764459.45,154.501226681169,43501564.54,42.6017691653178,-18108105.65,-17.7335538406474,-,-,20820526.2,20.3898701219644,-3393485.15,-3.32329360001069,1021121.08,1.80402286278545,-,-,-,-,-,-,-,-,-,12999325.05,12.7304443171421,14020446.13,13.7304443171421,-,-,-,-,2021/1/7 19:18:16,-,-
605398,016057,80994782,新炬网络,软件服务,001,001,2,shzb,2021-01-07T00:00:00,2017-12-31T00:00:00,64697609.92,1.00257755926163,389054439.38,6.02892828244838,171202762.55,2.65301991879559,-3801571.52,-0.0589105269977199,-,-,3801571.52,0.0589105269977199,3635238.33,0.0563329677360933,64531276.73,-0.0519288726284782,-,-,-,-,-,-,-,-,-,90946202.06,1.40933523507555,155477478.79,2.40933523507555,-,-,-,-,2021/1/7 7:16:47,-,-
