scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
605005,016035,80994694,合兴股份,汽车行业,shzb,001,001,2,2021-01-06T00:00:00,2019-12-31T00:00:00,1282046006.49,379570379.51,85565608.89,0.178267648352856,276772480.28,0.0615151988889195,259925072.17,-0.192751800221365,356943049.49,126579085.99,0.0899817997127722,30716652.49,-0.375806871967887,925102957.0,0.16535127539343,-0.009781,-0.287353,0.02308383,0.2784167243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-06T07:04:55
300935,016057,80393279,盈建科,软件服务,cyb,001,001,2,2021-01-06T00:00:00,2019-12-31T00:00:00,220424812.47,942757.05,170063490.11,0.342464679225594,39516717.38,0.0216669915059377,-,-,33294506.63,5157357.54,0.282060078644272,492734.77,0.216080474314427,187130305.84,0.275826581584489,0.270655,0.242351,0.06515094,0.1510469999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-06T07:12:23
300932,016022,81018318,三友联众,电子元件,cyb,001,001,2,2021-01-05T00:00:00,2019-12-31T00:00:00,1209832741.23,326545496.9,73121798.8,0.00488496895971983,368927977.46,0.214829724927762,162716501.66,0.370032449677095,491156777.78,194595632.23,0.370251605800611,6714666.8,1.79603298060193,718675963.45,0.15725435081153,0.15238,0.145322,0.01558036,0.4059708099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-05T08:25:15
688689,016022,80646313,银河微电,电子元件,,001,001,2,2021-01-05T00:00:00,2019-12-31T00:00:00,699439280.72,157364039.16,198728740.46,0.56789421475137,140821769.87,-0.074640426644211,79531715.66,0.092736235809469,193483043.06,114597244.31,0.00324001633037737,1980870.68,0.627972092616308,505956237.66,0.0692360624964775,0.066948,0.061012,0.02719005,0.2766259322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-04T19:31:18
688680,016018,80393304,海优新材,塑胶制品,,001,001,2,2021-01-05T00:00:00,2019-12-31T00:00:00,1044071299.04,158065342.53,82552950.53,12.6920339092604,274744379.51,0.214618535881962,88430296.21,-0.0200196138067621,501212355.12,140272188.81,0.624050931072644,2231399.74,1.54804838871662,542858943.92,0.206679354216939,0.272394,0.352149,0.01736343,0.4800556778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-04T19:31:31
688669,016041,80444981,聚石化学,化工行业,,001,001,2,2021-01-05T00:00:00,2019-12-31T00:00:00,1274318624.3,252115967.79,145794539.87,0.370804548998794,391114198.08,0.295488761211828,160640009.52,0.21544180892468,704531472.95,147275795.37,-0.0871745077035674,27276740.0,-0.428224316256749,569787151.35,0.348377147019612,0.271122,0.21483,0.01460175,0.5528691644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-04T19:52:59
300933,016020,81016893,中辰股份,输配电气,cyb,001,001,2,2021-01-05T00:00:00,2019-12-31T00:00:00,1892741299.57,226174777.85,381945928.67,0.345877652955191,771776199.27,0.206653703416099,331467435.61,0.145571947819803,924736445.9,173038396.53,0.2796096234108,26008498.89,-0.252839132560275,968004853.67,0.110408194311641,0.130356,0.15202,0.01683137,0.4885699097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-05T07:21:45
688617,016047,81051468,惠泰医疗,医疗行业,,001,001,2,2021-01-04T00:00:00,2019-12-31T00:00:00,561030054.42,111600806.2,73518073.32,-0.189953877462302,47062179.55,0.852198008671429,142837492.85,0.77722953712282,215129832.7,11018661.54,0.618174285240934,4096126.97,0.190505450071675,345900221.72,0.277803142412486,0.721896,2.9028,0.0270377,0.3834550948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-03T15:20:46
603377,016003,80133895,东方时尚,交运物流,shzb,001,001,2,2021-01-04T00:00:00,2019-12-31T00:00:00,4460510115.65,921326005.25,368017574.59,0.0250285626862911,6829454.39,80.0882604026858,794120299.99,0.0440270454828403,2307877167.88,217552075.18,-0.0358656796025295,374742003.52,0.0221657464049509,2152632947.77,0.0419251028276648,0.112105,0.186657,0.00804222,0.5174020702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-04T07:27:16
300927,016041,80006365,江天化学,化工行业,cyb,001,001,2,2020-12-31T00:00:00,2019-12-31T00:00:00,515601359.39,104895171.43,64266383.14,0.0750013171807263,44274017.7,-0.217580793491886,44801551.74,-0.0400821282940869,248518709.52,91421206.18,0.775908035994043,4107444.07,-0.363472710393258,267082649.87,0.13943661803453,0.228954,0.342284,0.01110065,0.4819977779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T21:34:48
300931,016043,80520714,通用电梯,机械行业,cyb,001,001,2,2020-12-31T00:00:00,2019-12-31T00:00:00,638570973.64,56860007.55,257946265.68,0.0389728591539074,224871110.22,0.108140870850762,53806061.15,-0.320755847173341,163091968.73,108447147.84,0.0548011281960545,31902727.53,-0.4612468577845,475479004.91,0.153695955640721,-0.019283,-0.317581,0.0357948,0.2554014753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-31T09:39:38
300926,016035,80495752,博俊科技,汽车行业,cyb,001,001,2,2020-12-31T00:00:00,2019-12-31T00:00:00,1127624639.56,368721890.6,69769230.52,2.91600161903897,248725013.48,0.283728415161213,182905356.78,0.244276914105121,651720452.59,225863377.82,0.346739487730214,25342706.15,2.28433651777575,475904186.97,0.154554323044937,0.277078,0.384356,0.00978223,0.5779586839,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T21:38:26
300930,016040,80994692,屹通新材,材料行业,cyb,001,001,2,2020-12-31T00:00:00,2019-12-31T00:00:00,380883146.21,58556274.5,59105214.09,-0.0978817338128524,39372250.66,-0.195472969113445,17374075.57,0.0428765733524528,92874158.79,46249889.56,0.341919449071284,692732.28,-0.367509793645785,288008987.42,0.258190664775231,0.190841,0.021306,0.02710073,0.2438389824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-31T07:22:04
600865,016036,10000814,百大集团,商业百货,shzb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,2255096944.24,92356441.23,313832386.0,0.314280609068775,10593415.09,-0.124500413501765,388308.73,-0.540857838475409,354924139.97,99201407.9,0.0589724591150055,78569741.17,0.463211759494831,1900172804.27,0.0733441538062922,0.084608,0.14917,0.04139801,0.1573875309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-29T16:11:05
601963,016029,80001142,重庆银行,银行,shzb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,501231864000.0,-,-,-,-,-,-,-,462618195000.0,-,-,-,-,38613669000.0,0.115628838943552,0.112936,0.112712,-,0.9229624615,32033098000.0,-0.0356368325332322,238626834000.0,0.158814645917625,-,-,12449180000.0,2.84979313343396,281048911000.0,0.0961594243283037,13430591000.0,0.269289036622717,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T07:05:08
300929,016048,80205700,华骐环保,环保工程,cyb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,1208246649.86,62898923.84,108485963.79,2.09662623078952,338410535.4,0.200754789526711,132021051.45,-0.0422010819100716,757032467.82,333513267.74,0.385072210832267,16128295.97,0.272554118150208,451214182.04,0.18987025370905,0.270008,0.323122,0.01261041,0.6265545763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T09:50:11
003032,016060,80533669,传智教育,文教休闲,zxb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,1122203228.03,4978083.2,882124172.43,0.151195404445715,4184944.82,-0.331202308572407,-,-,343285093.83,24578801.7,0.0837855918893257,215226854.21,-0.0796772701758989,778918134.2,0.31023899417625,0.19365,-0.006867,0.02669961,0.3059027859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T06:53:07
300340,016040,80167143,科恒股份,材料行业,cyb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,3336082641.27,329662960.49,208832367.6,-0.41477577414526,807356975.0,-0.199385905586514,743544112.2,-0.014826218679517,1885224779.31,504336040.29,-0.150098822084902,252072164.65,-0.140545485701221,1450857861.96,0.0112610232398065,-0.07754,-0.135933,0.01136025,0.5651013425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-30T16:50:18
600814,016036,10000763,杭州解百,商业百货,shzb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,5753866795.92,777463070.63,2244292530.14,-0.218440325890942,57509051.16,0.135899686309302,43304894.76,-0.0108573219258327,2178251861.36,762857433.56,0.0647856227402588,1085817517.15,0.00262222581938474,3575614934.56,0.0700603801215459,0.057317,0.037044,0.01751425,0.3785718263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-29T16:48:41
600857,016036,10000806,宁波中百,商业百货,shzb,001,001,2,2020-12-30T00:00:00,2019-12-31T00:00:00,1378824529.99,195591746.46,59497297.74,-0.394313546856535,1322681.44,-0.478221281053331,54436483.36,0.501194495777453,733197547.28,69361723.84,-0.1977312407055,3580608.34,0.111456941056797,645626982.71,2.18507101438672,0.67235,0.179193,0.04046276,0.5317555144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-29T18:37:32
300894,016019,80650875,火星人,家电行业,cyb,001,001,2,2020-12-28T00:00:00,2019-12-31T00:00:00,1156820736.26,480571535.58,314055685.2,0.504682878181136,49344581.8,3.87919667655554,120771764.33,-0.0559866146107067,574944287.17,198259445.22,0.248356766990042,73833267.61,0.226537353474791,581876449.09,0.427030856765276,0.347524,0.275598,0.00910882,0.4970037873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-12-27T16:50:04
